Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price,image_url
TRYX PANORAMA ARGB (2025) (3),Fan RPM500 - 1850 RPM,Noise Level28.87 dB,ColorBlack,Radiator Size360 mm,(3),€388.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/de672a3cd34e1068797bc0899a99697c.256p.jpg
Noctua NH-U12A chromax.black (63),Fan RPM450 - 2000 RPM,Noise Level18.8 - 22.6 dB,ColorBlack,Radiator Size,(63),€129.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/3a24ca834f2b252f719640f8b8448b6c.256p.jpg
Cooler Master Hyper 212 RGB Black Edition (241),Fan RPM650 - 2000 RPM,Noise Level8 - 30 dB,ColorBlack,Radiator Size,(241),Add,https://cdna.pcpartpicker.com/static/forever/images/product/16dca5ad82a279a9232b0cbcb6ed71bf.256p.jpg
ID-COOLING SE-214-XT ARGB (25),Fan RPM500 - 1500 RPM,Noise Level13.8 - 30.5 dB,ColorWhite,Radiator Size,(25),Add,https://m.media-amazon.com/images/I/51bTXt-wzEL.jpg
Thermalright Frozen Infinity 360 ARGB (14),Fan RPM2000 RPM,Noise Level28.2 dB,ColorBlack,Radiator Size360 mm,(14),€66.90Add,https://m.media-amazon.com/images/I/41vk2A72I3L.jpg
Thermalright AXP90-X36 (5),Fan RPM2700 RPM,Noise Level22.4 dB,ColorGray,Radiator Size,(5),Add,https://m.media-amazon.com/images/I/41Hsrx24RFL.jpg
NZXT Kraken 360 RGB (13),Fan RPM500 - 1800 RPM,Noise Level17.9 - 30.6 dB,ColorBlack,Radiator Size360 mm,(13),Out of stock€229.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/da52d72313deb270a5397a87703991d0.256p.jpg
Iceberg Thermal IceFLOE T95 (0),Fan RPM1000 - 2200 RPM,Noise Level32.3 dB,ColorTeal / Silver,Radiator Size,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c8eca1f7fd81d05f9713cb8727ad2611.256p.jpg
Thermalright Phantom Spirit 120 SE (10),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(10),€48.54Add,https://cdna.pcpartpicker.com/static/forever/images/product/794ec9c0aa5dda6f170f3e442d992606.256p.jpg
Thermalright Assassin X 120 R Digital ARGB (8),Fan RPM2000 RPM,Noise Level29.8 dB,ColorBlack,Radiator Size,(8),€29.60Add,https://m.media-amazon.com/images/I/41-Cw6pz6eL.jpg
