Name,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Rating,Price,image_url
Gigabyte TRX40 DESIGNARE (0),Socket / CPUsTRX4,Form FactorXL ATX,Memory Max256 GB,Memory Slots8,ColorBlack / Silver,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/252dcd44f35f054776a82e38a3ac4cbf.256p.jpg
Gigabyte B550 UD AC (10),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBrown / Black,(10),Add,https://cdna.pcpartpicker.com/static/forever/images/product/9c84b688f61e7464302774dcde515727.256p.jpg
Asus TUF GAMING B650E-PLUS WIFI (4),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(4),€179.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/54e3f2f7c2cbb05cfc37c8f430d547ea.256p.jpg
Gigabyte B550M AORUS ELITE AX (8),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(8),€154.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/bf6939e818d9dd155a2acf5199ef6720.256p.jpg
Gigabyte B650 GAMING X AX V2 (63),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorGray / Black,(63),€147.63Add,https://m.media-amazon.com/images/I/51FV8n5IuGL.jpg
Asus ROG STRIX B850-F GAMING WIFI (3),Socket / CPUAM5,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorBlack,(3),€280.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/da67975baa3e2a69497334af8eee81ce.256p.jpg
Asus B760M-AYW WIFI D4 II (1),Socket / CPULGA1700,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBlack / Silver,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/1e20fcdfc3ac73aae41d19e73b2d505c.256p.jpg
MSI PRO Z790-A MAX WIFI (22),Socket / CPULGA1700,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorSilver / Black,(22),Out of stock€260.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/55e781311c4d62e83df9ac297a64c01a.256p.jpg
Asus TUF GAMING B650-PLUS WIFI (45),Socket / CPUAM5,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack,(45),€177.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/d9e08ab3fe18574bdc4f01dcfecce0ea.256p.jpg
Gigabyte A520I AC (25),Socket / CPUAM4,Form FactorMini ITX,Memory Max64 GB,Memory Slots2,ColorBlack,(25),€118.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/87329029966463ec6eac31fad52fae85.256p.jpg
MSI B550-A PRO (120),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(120),€116.61Add,https://m.media-amazon.com/images/I/51YHWAAsu5L.jpg
Asus TUF GAMING B850M-PLUS WIFI (11),Socket / CPUAM5,Form FactorMicro ATX,Memory Max256 GB,Memory Slots4,ColorBlack,(11),€210.91Add,https://cdna.pcpartpicker.com/static/forever/images/product/1d8ae56612d85a6804f4da9a9bc4c5e4.256p.jpg
MSI PRO H610M-G DDR4 (10),Socket / CPULGA1700,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBlack / Silver,(10),€67.78Add,https://cdna.pcpartpicker.com/static/forever/images/product/8a6d9e0f04302ca47ff65d23bda24e49.256p.jpg
Gigabyte B850 AORUS ELITE WIFI7 ICE (16),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorWhite / Silver,(16),€216.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/b0c60fa6ec041477ad48e09d4203a0da.256p.jpg
MSI Z890 GAMING PLUS WIFI (2),Socket / CPULGA1851,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(2),€269.32Add,https://cdna.pcpartpicker.com/static/forever/images/product/09616b3a79d984fcecbcc06409660931.256p.jpg
MSI PRO B550M-VC WIFI (59),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlack,(59),€205.25Add,https://cdna.pcpartpicker.com/static/forever/images/product/3ba98d49243674bac25ebc39e6cc1fbc.256p.jpg
MSI B850 GAMING PLUS WIFI6E (4),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorSilver,(4),€161.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/34e776866180181de790f98268092efd.256p.jpg
MSI PRO X870E-P WIFI (9),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(9),€239.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/818755e4ae3a17cd1e3dc208ed4017fe.256p.jpg
ASRock B550M-HDV (6),Socket / CPUAM4,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBlack,(6),€72.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/f50779cfddeda830b0af852915702a00.256p.jpg
MSI MAG X870E TOMAHAWK WIFI (13),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack / Green,(13),€334.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/d45365fc05268cf82bf9720808262049.256p.jpg
Asus ROG STRIX X870E-H GAMING WIFI7 (1),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(1),€418.91Add,https://cdna.pcpartpicker.com/static/forever/images/product/7ed8f842403b1b5afa15e3d8055f7c19.256p.jpg
ASRock B550M Pro4 (51),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorSilver / Black,(51),€102.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/472d12f3f649d3c11155e02f9fd70e22.256p.jpg
Asus ROG ZENITH II EXTREME ALPHA (4),Socket / CPUsTRX4,Form FactorEATX,Memory Max256 GB,Memory Slots8,ColorBlack / Silver,(4),Add,https://m.media-amazon.com/images/I/51qc0yafF+L.jpg
ASRock B850M-X WiFi R2.0 (6),Socket / CPUAM5,Form FactorMicro ATX,Memory Max128 GB,Memory Slots2,ColorBlack / White,(6),€121.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/cf3d0f0524d2e319b2e8eb117d9b63ca.256p.jpg
ASRock B450M/ac R2.0 (13),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(13),€104.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/3097c6aa9533b84ddbaa1ce0be506081.256p.jpg
MSI PRO B850-S WIFI6E (1),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(1),€155.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/bf040b7e95e6a515f5c1fabd2a011a08.256p.jpg
MSI A520M-A PRO (6),Socket / CPUAM4,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBlack,(6),€55.30Add,https://m.media-amazon.com/images/I/61rBzM2fjzL.jpg
Gigabyte B850 EAGLE WIFI6E (8),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorGray / Black,(8),€169.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/2a9181a93dc5c38ea219e25f07ff1322.256p.jpg
Asus ROG CROSSHAIR X870E HERO (6),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(6),€634.60Add,https://cdna.pcpartpicker.com/static/forever/images/product/308921dd82c7029537edd075cf518569.256p.jpg
Gigabyte Z790 EAGLE AX (7),Socket / CPULGA1700,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorGray / Black,(7),€175.31Add,https://cdna.pcpartpicker.com/static/forever/images/product/3d487ee6ea150ca534c123f409cbae68.256p.jpg
ASRock B550 Phantom Gaming 4/ac (10),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorSilver / Black,(10),€188.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/987495c240f254ae7314bdd8ae3c426c.256p.jpg
