Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price,image_url
HYTE Y70 Touch Infinite (6),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(6),€169.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/48cf06b9156aa9e1b662b35af8eb2a3b.256p.jpg
Lian Li O11 Dynamic Mini V2 (8),TypeATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(8),€93.17Add,https://cdna.pcpartpicker.com/static/forever/images/product/bf613e9d7fc5e9975f3e2609d985d9d9.256p.jpg
Phanteks Eclipse G370A (3),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume48.7 L,"Internal 3.5"" Bays0",(3),€65.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/bbff08990bf49c7db84fbbd100460516.256p.jpg
Corsair FRAME 4000D RS ARGB (20),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume56.7 L,"Internal 3.5"" Bays2",(20),€109.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/b92de105986e31796925b0c95a335fa0.256p.jpg
Fractal Design North XL (21),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume61.4 L,"Internal 3.5"" Bays2",(21),€178.17Add,https://cdna.pcpartpicker.com/static/forever/images/product/de8d089eec0681bef6c59b47f908e2ef.256p.jpg
Lian Li A3-mATX (25),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(25),€69.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/e2090d6841bfea8c2ec3aee350b4a3ab.256p.jpg
HYTE Y70 Touch Infinite (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(7),€400.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/6c34ad3e10021abab186c77e8fde0328.256p.jpg
Lian Li O11D EVO RGB (23),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume65.3 L,"Internal 3.5"" Bays4",(23),€164.83Add,https://cdna.pcpartpicker.com/static/forever/images/product/97f123a53cbb3ce24652396462da17d1.256p.jpg
Phanteks XT PRO ULTRA (25),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays2",(25),€74.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/b799e3113602fc415370943709415190.256p.jpg
Lian Li O11 Dynamic Mini V2 (3),TypeATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(3),€93.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/b5bba2bf9953c73986a2b94c01e3a90e.256p.jpg
Lian Li Lancool 207 (30),TypeATX Mid Tower,ColorBlue,Power SupplyNone,Side PanelTempered Glass,External Volume45.5 L,"Internal 3.5"" Bays2",(30),€90.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/393f3d73165045839334a1621040ee20.256p.jpg
Lian Li A3-mATX (36),TypeMicroATX Mini Tower,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume26.3 L,"Internal 3.5"" Bays1",(36),€84.49Add,https://cdna.pcpartpicker.com/static/forever/images/product/4b279bc4cdfb4a3e52c9bfa879746ab5.256p.jpg
Corsair 4000D Airflow (379),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume48.6 L,"Internal 3.5"" Bays2",(379),Out of stock€105.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/bc6e987da3fe22c616898d1d7fa3d227.256p.jpg
NZXT H3 Flow (12),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume35.0 L,"Internal 3.5"" Bays1",(12),€69.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/5b23443767ef786094bc4b6add8112a8.256p.jpg
NZXT H9 Flow (2025) (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTinted Tempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(2),€161.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/0cda49e883ff1ea3cab69e0808746f27.256p.jpg
Silverstone ALTA F2 (0),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume98.9 L,"Internal 3.5"" Bays8",(0),€934.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/4ff42fa090d41392739d099e28baf56f.256p.jpg
NZXT H6 Flow (37),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(37),€119.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/0ff9e0317d9c4b1e99938a2f02ccb165.256p.jpg
Lian Li LANCOOL 217 (9),TypeATX Mid Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume57.7 L,"Internal 3.5"" Bays1",(9),€111.17Add,https://cdna.pcpartpicker.com/static/forever/images/product/610e12d560e4933d797d322e677d0066.256p.jpg
HYTE Y70 (8),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume70.7 L,"Internal 3.5"" Bays2",(8),€233.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/6af31e169a3db76f5ddb2697518639d6.256p.jpg
Fractal Design Terra (24),TypeMini ITX Desktop,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume11.4 L,"Internal 3.5"" Bays0",(24),€192.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/93603f04dde2fe42335d278e66b80c4d.256p.jpg
MUSETEX Y6 (4),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume40.9 L,"Internal 3.5"" Bays2",(4),Add,https://m.media-amazon.com/images/I/513aAkRAd0L.jpg
Lian Li O11 Dynamic EVO XL (19),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume84.4 L,"Internal 3.5"" Bays4",(19),€241.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/1ec7a3be51497aa3abf33c2afcdbf5d0.256p.jpg
