Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Rating,Price,image_url
ASRock Challenger (9),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorBlack,Length290 mm,(9),€760.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/f016a332e2c52da6b3bc42013e651566.256p.jpg
XFX Swift OC (17),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorBlack,Length290 mm,(17),€464.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/b7e8bd378dc83ed462dd986eb508ace7.256p.jpg
PNY OC (11),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2295 MHz,Boost Clock2572 MHz,ColorBlack,Length300 mm,(11),€1088.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/4fbe161d8b3204734dc5c964dc5443e4.256p.jpg
PNY VCNRTX6000ADA-PB (1),ChipsetRTX 6000 Ada Generation,Memory48 GB,Core Clock915 MHz,Boost Clock2505 MHz,ColorBlack / Gold,Length267 mm,(1),€7970.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/6ef5b8f1b94982c71019a0d9ac2795e2.256p.jpg
MSI VENTUS 2X XS OC (1),ChipsetGeForce RTX 3050 8GB,Memory8 GB,Core Clock1550 MHz,Boost Clock1807 MHz,ColorBlack / Gray,Length205 mm,(1),€289.04Add,https://cdna.pcpartpicker.com/static/forever/images/product/cd30fd761012460241548ac2a5a9f8a4.256p.jpg
Gigabyte WINDFORCE SFF (6),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2452 MHz,Boost Clock,ColorBlack,Length304 mm,(6),€1066.83Add,https://cdna.pcpartpicker.com/static/forever/images/product/e7c2e56f9ec5d4486076d654d8237afe.256p.jpg
NVIDIA Founders Edition (15),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2017 MHz,Boost Clock2407 MHz,ColorBlack / Silver,Length304 mm,(15),Add,https://cdna.pcpartpicker.com/static/forever/images/product/6b0f4a7c280559e287c8a35ed24da423.256p.jpg
Asus PRIME (8),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock,ColorBlack / White,Length306 mm,(8),€663.49Add,https://cdna.pcpartpicker.com/static/forever/images/product/ff0463c9c1bab135e7d0be471295c5ee.256p.jpg
MSI SHADOW 2X OC (4),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2557 MHz,Boost Clock,ColorBlack,Length231 mm,(4),Add,https://cdna.pcpartpicker.com/static/forever/images/product/986e66c86f4581f1ee886ab54482f015.256p.jpg
Asus DUAL (2),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3250 MHz,ColorBlack,Length202 mm,(2),€429.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/e049daeea6a93f7ac4473a2314c95f0b.256p.jpg
Sapphire PULSE (27),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorBlack,Length320 mm,(27),€719.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/476e6143a031380658f2fdb9d5a2126d.256p.jpg
MSI VENTUS 2X OC (1),ChipsetGeForce RTX 3050 6GB,Memory6 GB,Core Clock1040 MHz,Boost Clock1492 MHz,ColorBlack,Length189 mm,(1),€279.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/f86c8c5780481bd5cfd54e7251ce354e.256p.jpg
Gigabyte WINDFORCE OC SFF (5),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2497 MHz,Boost Clock,ColorBlack,Length304 mm,(5),€955.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/01f288f2abde496dcb1620b0da58df50.256p.jpg
ASRock Challenger OC (10),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3290 MHz,ColorBlack / Silver,Length249 mm,(10),€527.13Add,https://cdna.pcpartpicker.com/static/forever/images/product/67f500a12c85e2179f6cbad6cc4838cb.256p.jpg
Asus PRIME OC (4),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2527 MHz,ColorBlack / White,Length306 mm,(4),€1041.58Add,https://cdna.pcpartpicker.com/static/forever/images/product/43191ac360269737064e20b57d60c9b6.256p.jpg
Gigabyte WINDFORCE OC SFF (4),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock,ColorBlack,Length304 mm,(4),€1349.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/b593bb95ec0b9a1c2e4bf889f2a8dd32.256p.jpg
ASRock Steel Legend (26),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2400 MHz,Boost Clock2970 MHz,ColorWhite / Gray,Length298 mm,(26),€755.86Add,https://cdna.pcpartpicker.com/static/forever/images/product/289050b8f57e88a5cc6ea4463310a5ef.256p.jpg
PNY OC (12),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2325 MHz,Boost Clock2587 MHz,ColorBlack,Length300 mm,(12),€779.04Add,https://cdna.pcpartpicker.com/static/forever/images/product/0973dbab1cd448060518fa00a079616c.256p.jpg
