Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price,image_url
Crucial Pro Overclocking 32 GB (11),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€14.843,ColorWhite,First Word Latency12 ns,CAS Latency36,(11),€474.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/5a642e1d35082f6b11c123d939743045.256p.jpg
TEAMGROUP T-Force Delta RGB 32 GB (91),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€17.056,ColorBlack,First Word Latency10 ns,CAS Latency30,(91),€545.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/d2e3f9b94f541ad51a19011026245df2.256p.jpg
G.Skill Ripjaws V 16 GB (200),SpeedDDR4-3600,Modules2 x 8GB,Price / GB€11.357,ColorBlack,First Word Latency8.889 ns,CAS Latency16,(200),€181.71Add,https://cdna.pcpartpicker.com/static/forever/images/product/a00199d12cb22ee1dc33639a754cca79.256p.jpg
Corsair Vengeance RGB Pro 32 GB (43),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€9.432,ColorBlack,First Word Latency10 ns,CAS Latency16,(43),€301.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/e508c7c5a301831579045f9fda179aac.256p.jpg
G.Skill F4-3200C16Q2-128GTZSK 128 GB (0),SpeedDDR4-3200,Modules8 x 16GB,Price / GB,ColorGray / Black,First Word Latency10 ns,CAS Latency16,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/05df1788f646cbe25a22058d136bcc8b.256p.jpg
G.Skill Trident Z RGB 32 GB (31),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€10.642,ColorBlack,First Word Latency10 ns,CAS Latency18,(31),€340.55Add,https://cdna.pcpartpicker.com/static/forever/images/product/67c83cfd051636aaa95e8b00b6e95d6e.256p.jpg
Kingston FURY Beast 32 GB (16),SpeedDDR4-3200,Modules2 x 16GB,Price / GB€4.840,ColorBlack,First Word Latency10 ns,CAS Latency16,(16),€154.88Add,https://cdna.pcpartpicker.com/static/forever/images/product/f5b1674c2d725945298cd1f11d305fb7.256p.jpg
Patriot Viper Venom 16 GB (0),SpeedDDR5-6000,Modules2 x 8GB,Price / GB,ColorBlack / Silver,First Word Latency12 ns,CAS Latency36,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/8336089b3001d3eb49e18c1cf3bb6bc4.256p.jpg
TEAMGROUP T-Force Delta RGB 16 GB (2),SpeedDDR5-6000,Modules2 x 8GB,Price / GB,ColorBlack,First Word Latency12.667 ns,CAS Latency38,(2),Add,https://cdna.pcpartpicker.com/static/forever/images/product/ef4ede6a5602aee565feee7d3c8fa555.256p.jpg
G.Skill Ripjaws S5 32 GB (28),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€16.872,ColorBlack,First Word Latency12 ns,CAS Latency36,(28),€539.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/24d251679c92dd15d250e400ea873727.256p.jpg
Kingston FURY Beast 32 GB (6),SpeedDDR5-5200,Modules2 x 16GB,Price / GB€14.219,ColorBlack / Silver,First Word Latency15.385 ns,CAS Latency40,(6),€455.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/4108ce94c499008912266b2f019d061b.256p.jpg
Kingston FURY 16 GB (0),SpeedDDR5-5600,Modules1 x 16GB,Price / GB€5.307,ColorWhite,First Word Latency14.286 ns,CAS Latency40,(0),€84.91Add,https://cdna.pcpartpicker.com/static/forever/images/product/2e119f2bf941f81a4287fdac476f19bb.256p.jpg
G.Skill Trident Z RGB 16 GB (360),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€10.148,ColorBlack,First Word Latency10 ns,CAS Latency16,(360),€162.37Add,https://m.media-amazon.com/images/I/41W2Vvt5MoL.jpg
Crucial Pro 32 GB (2),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€16.250,ColorWhite,First Word Latency11.875 ns,CAS Latency38,(2),€519.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/65b14ae549adb44fc16089d1996f8462.256p.jpg
Corsair Vengeance RGB 192 GB (0),SpeedDDR5-5200,Modules4 x 48GB,Price / GB€13.781,ColorBlack,First Word Latency14.615 ns,CAS Latency38,(0),€2645.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/fad60fde2b96ce5d811577195e0fe5d3.256p.jpg
G.Skill Flare X5 32 GB (93),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.372,ColorBlack,First Word Latency10 ns,CAS Latency30,(93),€587.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/2a5856ab677607ec6f3b1c25bed693ab.256p.jpg
Silicon Power Value Gaming 32 GB (17),SpeedDDR5-6000,Modules2 x 16GB,Price / GB,ColorBlack,First Word Latency10 ns,CAS Latency30,(17),Add,https://m.media-amazon.com/images/I/318GA-iDDxL.jpg
Corsair Vengeance LPX 256 GB (0),SpeedDDR4-3600,Modules8 x 32GB,Price / GB,ColorBlack / Yellow,First Word Latency10 ns,CAS Latency18,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/8ccbf3dbd4944b9686c9b459c21a5052.256p.jpg
G.Skill Trident Z5 Royal Neo RGB 32 GB (16),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€19.934,ColorSilver,First Word Latency9.333 ns,CAS Latency28,(16),€637.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/297a1bced0fdc057482d491aed331bc2.256p.jpg
TEAMGROUP T-Force Vulcan 32 GB (31),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€17.978,ColorBlack,First Word Latency10 ns,CAS Latency30,(31),€575.30Add,https://m.media-amazon.com/images/I/419fXKKDtvL.jpg
Patriot Viper Venom 32 GB (5),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€14.896,ColorBlack / White,First Word Latency10 ns,CAS Latency32,(5),€476.66Add,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
